date,close_bbg
6/14/2018,1221.78
6/15/2018,1220.26
6/18/2018,1217.34
6/19/2018,1213.24
6/20/2018,1215.29
6/21/2018,1207.08
6/22/2018,1209.7
6/25/2018,1191.8
6/26/2018,1195.14
6/27/2018,1185.25
6/28/2018,1194.2
6/29/2018,1194.5
7/2/2018,1199.46
7/3/2018,1191.76
7/5/2018,1202.53
7/6/2018,1213.34
7/9/2018,1224.88
7/10/2018,1229.89
7/11/2018,1221.77
7/12/2018,1234.7
7/13/2018,1235.91
7/16/2018,1236.61
7/17/2018,1240.9
7/18/2018,1242.6
7/19/2018,1235.98
7/20/2018,1236.33
7/23/2018,1239.46
7/24/2018,1249.94
7/25/2018,1260.5
7/26/2018,1251.5
7/27/2018,1243.83
7/30/2018,1237.63
7/31/2018,1241.76
8/1/2018,1244.09
8/2/2018,1250.66
8/3/2018,1257.19
8/6/2018,1262.57
8/7/2018,1266.41
8/8/2018,1266.7
8/9/2018,1265.06
8/10/2018,1255.47
8/13/2018,1250.57
8/14/2018,1257.6
8/15/2018,1248.21
8/16/2018,1258.75
8/17/2018,1262.32
8/20/2018,1264.24
8/21/2018,1266.54
8/22/2018,1267.09
8/23/2018,1265.08
8/24/2018,1272.43
8/27/2018,1283.45
8/28/2018,1283.24
8/29/2018,1291.51
8/30/2018,1287.36
8/31/2018,1286.9
9/4/2018,1284.03
9/5/2018,1279.43
9/6/2018,1273.98
9/7/2018,1271.27
9/10/2018,1272.29
9/11/2018,1279.07
9/12/2018,1279.43
9/13/2018,1286.56
9/14/2018,1285.6
9/17/2018,1277.57
9/18/2018,1284.91
9/19/2018,1288.15
9/20/2018,1299.4
9/21/2018,1298.14
9/24/2018,1294.71
9/25/2018,1293.91
9/26/2018,1290.08
9/27/2018,1295.32
9/28/2018,1294.27
10/1/2018,1300.84
10/2/2018,1301.56
10/3/2018,1302.8
10/4/2018,1291.53
10/5/2018,1283.34
10/8/2018,1283.87
10/9/2018,1283.6
10/10/2018,1239.83
10/11/2018,1214.29
10/12/2018,1233.66
10/15/2018,1224.49
